key,context,example,source,ru,es,pt,fr,de,it,ja,ko,zh-hans,zh-hant,id,th,tr,vi,pl,ar,orphan
hud-burn-fat,,,TO CHECKPOINT,К КОНТРОЛЬНОЙ ТОЧКЕ,AL PUNTO DE CONTROL,PARA O CHECKPOINT,AU POINT DE CONTRLE,ZUM CHECKPOINT,AL CHECKPOINT,チェックポイントへ,체크포인트로,前往检查点,前往檢查點,KE POS PEMERIKSAAN,ไปยังจุดตรวจ,KONTROL NOKTASINA,ĐẾN ĐIỂM KIỂM TRA,DO PUNKTU KONTROLNEGO,إلى نقطة التفتيش,
btn-equip,,,Equip,Надеть,Equipar,Equipar,Équiper,Ausrüsten,Equipaggia,装備する,장착,装备,裝備,Pakai,สวมใส่,Takın,Trang bị,Wyposaż,تجهيز,
btn-unequip,,,Unequip,Разоружить,Desequipar,Desequipar,Déséquiper,Ablegen,Disequipaggia,装備を外す,장착 해제,卸下装备,卸下裝備,Lepaskan Perlengkapan,ถอดออก,Takını Kaldır,Bỏ trang bị,Zdejmij wyposażenie,نزع المعدات,
btn-equip-best,,,Equip Best,Надеть лучшее,Equipar mejor,Equipar Melhor,Équiper le mieux,Bestes ausrüsten,Equipaggia al meglio,ベストを装備する,베스트 장착,装备最佳,裝備最佳,Lengkapi Terbaik,สวมใส่ที่ดีที่สุด,En İyisini Donatın,Trang bị tốt nhất,Wyposaż najlepsze,تجهيز الأفضل,
label-select-pet,,,Pick a squishy,Выберите мягкого,Elige un squishy,Escolha um squishy,Choisissez un squishy,Wähle einen Squishy,Scegli un squishy,スクイシーを選んでください,스 퀴시를 선택하세요,选择一个柔软的东西 ,選擇一個軟軟的東西,Pilih yang lembut,เลือกสควิชี่,Bir yumuşacık seçin,Chọn một thứ mềm mại,Wybierz squishy,اختر لعبة رقيقة.,
reveal-new,,,NEW SQUISHY!,НОВЫЙ МЯГКИЙ!,NUEVO SQUISHY!,NOVO SQUISHY!,NOUVEAU SQUISHY !,NEUER SQUISHY!,NUOVO SQUISHY!,新しいスクイシー！,새로운 스 퀴시!,新的软萌玩具！,新的軟萌玩具！,SQUISHY BARU!,SQUISHY ใหม่!,YENI YUMUŞAK!,SQUISHY MỚI!,NOWY SQUISHY!,اللينة الجديدة!,
reveal-copies,,,Level {n},Уровень {n},Nivel {n},Nível {n},Niveau {n},Stufe {n},Livello {n},レベル {n},레벨 {n},等级 {n},等級 {n},Tingkat {n},เลเวล {n},Seviye {n},Cấp {n},Poziom {n},المستوى {n},
reveal-continue,,,Tap to continue,"Нажмите, чтобы продолжить",Toca para continuar,Toque para continuar,Tapez pour continuer,"Tippen, um fortzufahren",Tocca per continuare,タップして続ける,계속하려면 탭하세요.,点击继续,點擊繼續,Ketuk untuk melanjutkan,แตะเพื่อดำเนินการต่อ,Devam etmek için dokunun,Nhấn để tiếp tục,"Stuknij, aby kontynuować",اضغط للمتابعة,
pet-crumb-mouse,,,Vanilla Cup,Ванильный кубок,Taza de vainilla,Copo de Baunilha,Coupe de vanille,Vanillebecher,Tazza di vaniglia,バニラカップ,바닐라 컵,香草杯,香草杯,Cangkir Vanila,ถ้วยวานิลลา,Vanilya Kupası,Cốc Vanilla,Filiżanka wanilii,كوب الفانيليا,
pet-sugar-chick,,,Wink Cup,Кубок подмигивания ,Copa de guiño,Copo de Aceno,Coupe Wink,Wink-Cup,Tazza Wink,ウインクカップ,윙크 컵,眨眼杯,眨眼杯,Cangkir Wink ,วิงค์ คัพ,Göz Kırpma Kupası,Cốc nháy mắt,Kubek Wink,كوب الغمز ,
pet-jelly-slug,,,Calm Cup,Кубок спокойствия,Taza de calma,Copo Calmo,Coupe du calme,Ruhiger Pokal,Tazza calma,カルムカップ,칼름 컵,平静杯,冷靜杯,Cangkir Tenang,ถ้วยสงบ ,Sakinlik Kupası,Cốc bình tĩnh,Spokojny kubek,كوب الهدوء ,
pet-berry-gummy,,,Aqua Drop,Капля воды,Gota de agua,Gota de água,Goutte d'eau,Aqua-Tropfen,Goccia d'acqua,アクアドロップ,아쿠아 드롭,水滴,水滴,Tetes Aqua,อควาดรอป,Aqua Damlası,Giọt nước,Kropla wodna,قطرة المياه,
pet-lime-gummy,,,Mint Drop,Капля мяты,Gota de menta,Gota de Menta,Goutte de menthe,Minztropfen,Goccia di menta,ミントドロップ,민트 드롭,薄荷滴,薄荷滴,Tetes Mint,มินท์ดรอป,Naneli Damla,Giọt bạc hà,Miętowa kropla,قطرة النعناع ,
pet-lemon-gummy,,,Blush,Румянец,Rubor,Blush,Fard à joues,Erröten,Fardello,ブラッシュ,블러시,腮红,紅暈,Perona pipi,บลัช,Allık,Phấn mặt,Róż,الخفر,
pet-loop-pop,,,Ocean Drop,Океанская капля,Gota de océano,Gota do Oceano,Goutte d'océan,Ozean-Tropfen,Goccia dell'oceano,オーシャンドロップ,오션 드롭,海洋滴,海洋滴,Tetesan Laut,หยดมหาสมุทร,Okyanus Damlası,Giọt biển,Kropla oceanu,قطرة المحيط,
pet-frosting-cat,,,Lilac Drop,Лилиановая капля,Gota lila,Gota de lilás,Goutte lilas,Lila Tropfen,Goccia lilla,ライラックドロップ,라일락 드롭,淡紫色水滴,淡紫色水滴,Tetes Lilac,หยดสีม่วง,Lila Damla,Giọt màu lilac,Liliowa kropla,قطرة الألوان الزهرية,
pet-cocoa-pup,,,Sunset Drop,Закатное падение,Gota de atardecer,Queda do Pôr do Sol,Goutte de coucher de soleil,Sonnenuntergang-Tropfen,Goccia del tramonto,サンセットドロップ,선셋 드롭,日落滴,日落滴,Tetes Matahari Terbenam,ซันเซ็ทดรอป,Günbatımı Damlası,Giọ mặt trời hoàng hôn,Zachodzący słońce ,قطر الغروب ,
pet-candy-crab,,,Stone Loaf,Каменный буханчик,Pan de piedra,Pão de Pedra,Pain de pierre,Steinbrot ,Pagnotta di Pietra,ストーンローフ,스톤 로프,石头面包,石頭麵包,Roti Batu,ก้อนหิน,Taş Ekmeği,Khối đá,Kamienny bochenek ,خبز الحجرة ,
pet-top-muffin,,,Peach Glow,Персиковое свечение,Brillo de durazno,Brilho de Pêssego,Éclat de pêche,Pfirsich-Glanz,Bagliore di pesca,ピーチグロー,피치 글로우,桃子光辉,桃色光澤,Cahaya Persik,แสงพีช,Şeftali Parıltısı,Ánh sáng đào,Brzoskwinowy blask,توهج المشمش,
pet-flake-crescent,,,Cream Wink,Кремовая подмигивашка,Guinzo de crema ,Aceno de Creme ,Clin d'œil crème,Creme-Wink,Occhiolino crema ,クリームウインク,크림 윙크,奶油眨眼 ,奶油眨眼,Kedipan Krim ,ขยิบตาครีม,Krem Göz Kırpma,Nháy mắt kem,Kremowe mruganie,غمزة الكريمي,
pet-blue-drop,,,Mint Glow,Мятное свечение,Brillo de menta,Brilho de Menta,Éclat de menthe,Minzglanz,Bagliore di menta,ミントグロウ,민트 글로우,薄荷光辉,薄荷光澤,Cahaya Mint,มินท์โกลว์,Naneli Parıltı,Ánh sáng bạc hà,Miętowy blask,التوهج النعناعي,
pet-peppermint-stick,,,Grape Drop,Капля винограда,Caída de uvas,Queda de Uvas,Chute de raisin,Traubentropfen,Goccia d'uva,グレープドロップ,포도 드롭,葡萄滴,葡萄滴,Tetes Anggur,หยดองุ่น,Üzüm Damlası,Giọt nho,Kropla winogron,قطرة العنب ,
pet-caramel-fox,,,Plum Sparkle,Блеск сливы,Brillo de ciruela,Brilho de Ameixa,Étincelle de prune,Pflaumenglanz,Scintilla di prugna,プラムスパークル,플럼 스파클,紫色闪光,紫色閃光,Kilauan Plum,ประกายพลัม,Kiraz Parıltısı,Lấp lánh mận,Świecidełko śliwki,بريق البرقوق ,
pet-waffle-owl,,,Sun Hat,Солнечная шляпа,Sombrero de sol,Chapéu de Sol,Chapeau de soleil,Sonnenhut,Cappello da sole,サンハット,선 햇,太阳帽,太陽帽,Topi Matahari,หมวกกันแดด,Güneş Şapkası,Mũ Nắng,Czapka przeciwsłoneczna,قبعة الشمس ,
pet-rose-macaron,,,Leaf Sprout,Лиственный росток,Brote de hoja,Broto de Folha,Pousse de feuille,Blatt-Keim,Cespuglio di foglie ,葉の芽,나뭇잎 싹,叶子萌芽 ,葉芽,Tunas Daun,ต้นใบไม้ ,Yaprak Filizi,Mầm lá cây,Pączek liści,بادعة الأوراق ,
pet-sky-macaron,,,Bonsai,Бонсай,Bonsái,Bonsai,Bonsaï,Bonsai,Bonsai,盆栽,본사이,盆栽,盆栽,Bonsai,บอนไซ,Bonsai,Bonsai,Bonsai,بونساي,
pet-swirl-roll,,,Sky Beam,Небесный луч ,Rayo del cielo,Raio do Céu,Rayon du ciel,Himmelsstrahl ,Raggio del cielo,スカイビーム,스카이 빔,天空光束,天空光束,Sinar Langit,สกายบีม,Gök Işını,Tia bầu trời,Promień nieba,شعاع السماء ,
pet-stack-cakes,,,Pastel Arc,Пастельная дуга,Arco de pastel,Arco Pastel,Arc pastel,Pastellbogen,Arco pastello,パステルアーク,파스텔 아크,柔和弧线 ,粉彩弧線,Busur Pastel,อาร์คพาสเทล ,Pastel Kemer ,Cầu vồng pastel,Pastelowy łuk,القوس الباستيل ,
pet-gummy-dragon,,,Cool Shades,Крутые оттенки,Sombras frescas,Tons Frios,Lunettes cool,Coole Farbtöne,Tonalità fredde,クールなサングラス,쿨 쉐이드,酷炫墨镜,酷炫墨鏡,Nuansa Keren,แว่นตาสุดเท่,Havalı Gölgeler,Kính râm thời trang,Fajne odcienie,الظلال الرائعة,
pet-eclair-unicorn,,,Ancient Bonsai,Древний бонсай,Bonsái antiguo,Bonsai Antigo,Bonsaï ancien,Uralter Bonsai,Bonsai antichi,古代の盆栽,고대 본사이,古代盆栽,古代盆栽,Bonsai Kuno ,บอนไซโบราณ,Antik Bonsai,Cây bonsai cổ xưa,Starożytny bonsai,بونساي القديم,
pet-slice-supreme,,,Ember,Эмбер,Ember,Ember,Braise,Glut,Ember,エンバー,엠버,余烬,火花,Ember,Ember,Ateş parçası,Ember,Ember,اللهب,
pet-crunch-taco,,,Visor,Визор,Visor ,Visor,Visière,Visier,Visiera ,バイザー,바이저,遮阳帽,遮陽板,Visor ,ที่กันแดด,Gözlük,Tấm che,Wizor,الشاشة ,
pet-triple-scoop,,,Thunderhead,Громовая голова,Cabeza de trueno,Cabeça de Trovão,Tête de tonnerre,Donnerkopf,Testa di tuono,雷の頭,썬더헤드,雷电头,雷頭,Kepala Guntur,ธันเดอร์เฮด,Yıldırım Kafası,Đầu sét,Głowa pioruna,رأس البرق,
pet-golden-whale,,,King,Король,Rey,Rei,Roi,König,Re,キング,킹,国王,國王,Raja,ราชา,Kral,Vua,Król,ملك,
pet-the-cake,,,Angel Cup,Кубок ангела,Copa de Ángel,Copo de Anjo,Coupe d'ange,Engel-Cup,Tazza dell'angelo,エンジェルカップ,엔젤 컵,天使杯,天使杯,Piala Malaikat,แองเจิล คัพ,Melek Kupası,Cúp Thiên thần,Kubek Anioła,كأس الملاك ,
pet-cloud-floss,,,Prism,Призма,Prisma ,Prisma,Prisme,Prisma,Prisma,プリズム,프리즘,棱镜,棱鏡,Prism ,ปริซึม,Prizm,Lăng kính,Pryzmat,المنشور ,
pet-ruby-berry,,,Void Cup,Кубок пустоты,Copa del Vacío,Copo do Vazio,Coupe du vide,Void-Cup ,Tazza del Vuoto,ヴォイドカップ,공허의 컵,虚空杯,虛空杯,Piala Void,ถ้วย Void,Boşluk Kupası,Cúp Void,Puchar Pustki,كأس الفراغ ,
pet-void-muffin,,,DEMON,ДЕМОН,DEMONIO,DEMÔNIO,DÉMON,DEMON,DEMONE,デーモン,악마,恶魔,惡魔,SETAN,ปีศาจ,ŞEYTAN,QUỷ DỮ,DEMON,شيطان,
pet-snow-drop,,,Snow Drop,Капля снега,Gota de nieve,Gota de Neve,Goutte de neige,Schneetropfen,Goccia di neve,雪の滴,눈 방울,雪滴,雪滴,Tetesan Salju,หยดหิมะ,Kar Damlası,Giọt tuyết,Kropla śniegu,قطرة الثلج,
pet-stripe-shell,,,Stripe Shell,Полосатая оболочка,Concha de rayas,Concha de Listras,Coquille rayée,Streifenschale,Conchiglia a strisce,ストライプシェル,스트라이프 쉘,条纹贝壳,條紋殼,Cangkang Garis,เปลือกลาย,Çizgili Kabuk,Vỏ sọc,Skorupa paskowa,قشرة الخطوط ,
pet-butter-cup,,,Butter Cup,Масляный кубок,Taza de mantequilla,Copo de Manteiga,Coupe de beurre,Butterbecher,Tazza di burro,バターカップ,버터 컵,黄油杯,奶油杯,Cangkir Mentega,ถ้วยเนยสด,Tereyağı Kupası,Cốc Bơ,Kubek masła,كوب الزبدة ,
pet-lavender-drop,,,Lavender Drop,Лавандовая капля,Gota de lavanda,Gota de Lavanda,Goutte de lavande,Lavendeltropfen,Goccia di lavanda,ラベンダードロップ,라벤더 드롭,薰衣草滴,薰衣草滴,Tetes Lavender,หยดลาเวนเดอร์,Lavanta Damlası,Giọt hoa lavender,Kropla lawendy,قطر اللافندر,
pet-lime-glow,,,Lime Glow,Лаймовое свечение,Brillo de lima,Brilho de Limão,Éclat de lime,Limettenglut,Bagliore di lime,ライムグロウ,라임 글로우,柠檬光辉,檸檬光澤,Cahaya Limau,แสงมะนาว,Limon Parıltısı,Ánh sáng chanh,Limonkowy blask,توهج الليمون,
pet-amber-drop,,,Amber Drop,Янтарная капля,Gota de ámbar,Gota de Âmbar,Goutte d'ambre,Bernstein-Tropfen,Goccia d'ambra,琥珀の滴,琥珀 드롭,琥珀滴,琥珀滴,Tetes Amber,แอมเบอร์ดรอป,Kehribar Damlası,Giọt hổ phách,Bursztynowa kropla,قطرة العنبر ,
pet-blossom,,,Blossom,Цвести,Flor,Flor,Fleur,Blüte,Fiore,花,블로섬,花朵,花朵,Bunga,ดอกบาน,Çiçek,Hoa nở,Kwiat,الزهرة,
pet-sombrero,,,Siesta,Сиеста ,Siesta,Siesta,Sieste ,Siesta,Siesta,シエスタ,시에스타,午睡,午睡,Siesta,Siesta,Siesta,Giấc ngủ trưa,Siesta,الاستراحة ,
pet-viking-helm,,,Raider,Разбойник,Asaltante,Invasor,Assaillant,Räuber,Assalitore ,レイダー,레이더,掠袭者 ,入侵者,Perampok,ไรเดอร์,Soyguncu,Kẻ cướp biển,Najeźdźca,المهاجم ,
pet-green-blade,,,Green Blade,Зеленый клинок,Hoja verde,Lâmina Verde,Lame verte,Grüne Klinge,Lama verde,グリーンブレード,그린 블레이드,绿色之刃,綠色劍刃,Pedang Hijau,ใบมีดสีเขียว,Yeşil Bıçak,Lưỡi xanh lá cây,Zielone Ostrze,الشفرة الخضراء ,
pet-suit,,,The Boss,Босс,El Jefe,O Chefe,Le patron,Der Boss,Il Boss,ボス,보스,头目 ,老闆 ,Bos,บอส,Patron,Ông chủ,Szef,الزعيم ,
pet-officer,,,Officer,Офицер,Oficial,Oficial,Officier,Offizier,Ufficiale,役員,장교,军官,官員,Petugas,นายร้อย,Memur,Sĩ quan,Oficer,ضابط,
pet-firefighter,,,Firefighter,Пожарник,Bombero,Bombeiro,Pompier,Feuerwehrmann,Pompiere ,消防士,소방관,消防员 ,消防員,Pemadam Kebakaran,นักดับเพลิง,İtfaiyeci,Lính cứu hỏa,Strażak,رجل الاطفاء,
pet-hazard-core,,,Hazard Core,Опасное ядро,Núcleo de peligro,Núcleo de Perigo,Noyau de danger,Gefahrenkern,Nucleo di pericolo,ハザードコア,위험 코어,危险核心,危險核心,Inti Bahaya ,แกนอันตราย,Tehlike Çekirdeği,Lõi nguy hiểm,Rdzeń zagrożeń,جوهر الخطر ,
pet-ember-rage,,,Ember Rage,Ярость Эмбера,Furia de Ember,Fúria de Ember,Colère d'Ember,Ember-Wut,Furia di Ember,エンバーの怒り,엠버의 분노,炽热愤怒,火焰之怒,Kemarahan Ember,Ember Rage,Ateş Öfkesi,Cơn Thịnh Nộ Của Ember,Gniew Ember,غضب الإمبير ,
pet-alien,,,Visitor,Гость,Visitante,Visitante,Visiteur,Besucher,Visitatore,訪問者,방문자,访客,訪客,Pengunjung,ผู้เยี่ยมชม,Ziyaretçi,Khách ghé thăm,Gość,زائر ,
pet-nebula-drop,,,Nebula,Туманность,Nebulosa,Nebula,Nébuleuse,Nebel,Nebulosa,ネビュラ,성운,星云,星雲,Nebula,เนบิวลา,Nebülöz,Tinh vân,Mgławica,السديم,
pet-galaxy-ring,,,COSMOS,КОСМОС,COSMOS,COSMOS,COSMOS,KOSMOS,COSMO,宇宙,宇宙,宇宙,宇宙,KOSMOS,คอสโมส,KOZMOS,VŨ TRỤ,KOSMOS,الكون,
stat-calories,,,Calories,Калории,Calorías,Calorias,Calories,Kalorien,Calorie,カロリー,칼로리,卡路里,卡路里,Kalori,แคลอรี่,Kaloriler,Calo,Kalorie,السعرات الحرارية,
stat-eat-speed,,,Eat Speed,Скорость еды,Velocidad de Comida,Velocidade de Comer,Vitesse de manger,Essgeschwindigkeit,Velocità di Mangiamento,食事速度,먹는 속도,进食速度,進食速度,Kecepatan Makan,ความเร็วการกิน,Yeme Hızı,Tốc độ ăn,Prędkość jedzenia,سرعة الأكل ,
stat-gems,,,Gems,Самоцветы,Gemas ,Joias,Gemmes,Edelsteine ,Gemme ,ジェム,보석,宝石,寶石,Permata ,อัญมณี,Mücevherler,Đá quý,Klejnoty,الأحجار الكريمة,
rarity-common,,,Common,Обычный,Común ,Comum ,Commun,Gewöhnlich,Comune ,普通,일반,常见,常見,Umum ,ธรรมดา,Sıradan,Thông thường,Zwykły,شائع ,
rarity-uncommon,,,Uncommon,Необычный,Poco común,Incomum,Peu commun,Ungewöhnlich,Non comune,珍しい,드문,罕见,罕見,Tidak biasa,พิเศษ,Sıradan Olmayan,Không phổ biến,Niezwykły,غير شائع,
rarity-rare,,,Rare,Редкий,Raro ,Raro,Rare,Selten,Raro,レア,레어,稀有,稀有,Langka,หายาก,Nadir,Hiếm,Rzadki,نادر,
rarity-epic,,,Epic,Эпический,Épico,Épico,Épique,Episch,Epico,エピック,에픽,史诗级,史詩級,Epik,อีปิค,Epik,Hoành tráng,Epicki,ملحمي,
rarity-legendary,,,Legendary,Легендарный,Legendario ,Lendário ,Légendaire,Legendär,Leggendario,レジェンド,레전더리,传说级,傳奇級,Legendaris,ตํานาน,Efsanevi,Huyền thoại,Legendarny,الأسطوري,
rarity-secret,,,Secret,Секрет,Secreto ,Segredo,Secret,Geheimnis,Segreto,秘密,비밀,秘密,秘密,Rahasia,ความลับ,Gizli,Bí mật,Sekret,سري,
biome-factory,,,Cake Factory,Завод тортов,Fábrica de Pasteles,Fábrica de Bolos,Usine de gâteaux,Kuchenfabrik,Fabbrica di torte,ケーキ工場,케이크 공장,蛋糕工厂 ,蛋糕工廠,Pabrik Kue,โรงงานเค้ก,Kek Fabrikası,Nhà máy bánh,Fabryka ciast,مصنع الكعك ,
biome-donut,,,Donut Plant,Растение пончиков,Planta de Rosquilla ,Planta de Rosquinhas,Plante de beignet,Donut-Pflanze ,Pianta di ciambelle ,ドーナツプラント,도넛 식물,甜甜圈植物,甜甜圈植物,Tanaman Donat,ต้นโดนัท ,Donat Bitkisi,Cây Donut ,Roślina pączków,نبات الدونات ,
biome-candy,,,Candy World,Мир конфет,Mundo de caramelo,Mundo dos Doces,Monde des bonbons,Süßigkeitenwelt,Mondo delle caramelle,キャンディワールド,캔디 월드,糖果世界,糖果世界,Dunia Permen,โลกขนมหวาน,Şeker Dünyası,Thế giới kẹo ngọt,Świat cukierków,عالم الحلوى ,
label-music,,,Music,музыка,Música,Música,Musique,Musik,Musica,音楽,음악,音乐,音樂,Musik,ดนตรี,Müzik,Nhạc,Muzyka,موسيقى ,
label-sound-effects,,,Sound Effects,Звуковые эффекты,Efectos de Sonido ,Efeitos Sonoros,Effets sonores,Soundeffekte,Effetti sonori,効果音,사운드 효과,音效,音效,Efek Suara,เสียงเอฟเฟค,Ses Efektleri,Hiệu ứng âm thanh,Efekty dźwiękowe,المؤثرات الصوتية,
footer-daily-claim,,,Claim today's reward!,Получите сегодняшнюю награду!,¡Reclama la recompensa de hoy!,Resgate a recompensa de hoje!,Réclamez la récompense du jour !,Nimm die heutige Belohnung ein!,Reclama la ricompensa di oggi!,今日の報酬を受け取ろう！,오늘의 보상을 획득하세요!,领取今天的奖励！,領取今天的獎勵吧！,Klaim hadiah hari ini!,รับรางวัลของวันนี้!,Günlük ödülü alın!,Nhận phần thưởng hôm nay!,Odbierz dzisiejszą nagrodę!,احصل على مكافأة اليوم!,
footer-daily-tomorrow,,,Come back tomorrow for the next reward!,Вернитесь завтра за следующей наградой!,Vuelve mañana para la siguiente recompensa.,Volte amanhã para a próxima recompensa!,Reviens demain pour la prochaine récompense !,"Komm morgen wieder, um die nächste Belohnung zu erhalten!",Torna domattina per la prossima ricompensa!,明日また来て、次の報酬を手に入れよう！,내일도 접속해 다음 보상을 받으세요!,明天再来领取下一个奖励吧！,明天再來領取下一個獎勵吧！,Kembalilah besok untuk hadiah berikutnya!,กลับมาในวันพรุ่งนี้เพื่อรับรางวัลถัดไป!,Bir sonraki ödül için yarın tekrar gelin!,Quay lại vào ngày mai để nhận phần thưởng tiếp theo!,Wróć jutro po następną nagrodę!,عُد غدًا للحصول على المكافأة التالية!,
shop-section-featured,,,Featured,Избранное,Destacado,Em Destaque,En vedette,Empfohlen,In evidenza,特集,추천,精选,精選,Unggulan,โดดเด่น,Öne çıkan,Nổi bật,Wyróżnione,مميز,
shop-section-passes,,,Game Passes,Игровые пропуска,Pases de juego,Passes de Jogo,Passes de jeu,Spielpässe,Pass di gioco,ゲームパス,게임 패스,游戏通行证 ,遊戲通行證,Pass Game,เกมพาส,Oyun Kartları,Thẻ trò chơi,Przepustki gry,تذاكر اللعبة ,
shop-section-gold,,,Gems,Самоцветы,Gemas ,Joias,Gemmes,Edelsteine ,Gemme ,ジェム,보석,宝石,寶石,Permata ,อัญมณี,Mücevherler,Đá quý,Klejnoty,الأحجار الكريمة,
shop-section-gems,,,Gems,Самоцветы,Gemas ,Joias,Gemmes,Edelsteine ,Gemme ,ジェム,보석,宝石,寶石,Permata ,อัญมณี,Mücevherler,Đá quý,Klejnoty,الأحجار الكريمة,
shop-section-boosts,,,Boosts,Усиливает,Impulsos ,Impulsos ,Boosts,Boosts,Potenziamenti,ブースト,부스트,加成 ,加成 ,Peningkatan ,บูสต์,Takviyeler,Tăng cường,Wzmocnienia,التعزيزات ,
shop-section-free,,,Free Stuff,Бесплатные вещи,Cosas Gratis,Coisas Grátis,Choses gratuites,Gratis Sachen,Cose Gratis,無料のもの,무료 물건,免费物品 ,免費物品,Barang Gratis,ของฟรี,Ücretsiz Eşyalar,Đồ miễn phí,Darmowe rzeczy,أشياء مجانية,
shop-tab-featured,,,Offers,Предложения,Ofertas,Ofertas,Offres,Angebote,Offerte,オファー,오퍼,优惠,優惠,Penawaran,ข้อเสนอ,Teklifler,Ưu đãi,Oferty,العروض,
shop-tab-passes,,,Passes,Пропуска,Pases,Passes,Passes,Pässe,Passi,パス,패스,通行证,通行證,Pass,บัตรผ่าน,Kartlar,Thẻ,Przepustki,التذاكر ,
shop-tab-boosts,,,Boosts,Усиливает,Impulsos ,Impulsos ,Boosts,Boosts,Potenziamenti,ブースト,부스트,加成 ,加成 ,Peningkatan ,บูสต์,Takviyeler,Tăng cường,Wzmocnienia,التعزيزات ,
shop-tab-gems,,,Gems,Самоцветы,Gemas ,Joias,Gemmes,Edelsteine ,Gemme ,ジェム,보석,宝石,寶石,Permata ,อัญมณี,Mücevherler,Đá quý,Klejnoty,الأحجار الكريمة,
btn-soon,,,SOON,СКОРО,PRONTO,EM BREVE,BIENTÔT,BALD,PRESTO,まもなく,곧,很快,很快,SEGERA,เร็วๆนี้,YAKINDA,SỚM,WKRÓTCE,قريبا,
ribbon-best-value,,,BEST VALUE,ЛУЧШАЯ ЦЕНА,MEJOR VALOR ,MELHOR VALOR,MEILLEURE VALEUR,BESTER WERT ,MIGLIOR VALORE,最高の価値,최고의 가치,最佳价值 ,最超值價,Nilai Terbaik,คุ้มค่าที่สุด,EN İYİ DEĞER,GIÁ TRỊ TỐT NHẤT,NAJLEPSZA WARTOŚĆ,أفضل قيمة,
ribbon-one-time,,,ONE TIME,ОДИН РАЗ,Una vez,UMA VEZ,UNE FOIS,EINMAL,UNA VOLTA,一度,1회,一次,一次,SATU KALI,ครั้งเดียว,BİR KERE,MỘT LẦN,Raz,مرة واحدة,
label-group-reward,,,Group Reward,Награда группы,Recompensa de grupo,Recompensa de Grupo,Récompense de groupe,Gruppenbelohnung,Ricompensa di gruppo,グループ報酬,그룹 보상,小组奖励,群組獎勵,Hadiah Grup,รางวัลกลุ่ม,Grup Ödülü,Phần thưởng nhóm,Nagroda grupowa,مكافأة المجموعة,
sub-group-reward,,,Like + join for a free boost!,"Поставьте лайк и присоединитесь, чтобы получить бесплатное усиление!",Dale un me gusta y únete para un impulso gratuito.,Curta + junte-se para um impulso gratuito!,Aimez et rejoignez pour un boost gratuit !,Like + tritt für einen kostenlosen Boost bei!,Metti un like e unisciti per una spinta gratuita!,「いいね」+参加して無料ブーストをゲットしよう！,좋아요 + 참여하여 무료 부스트를 받으세요!,点赞并加入即可获得免费加成！,點贊並加入即可獲得免費加成！,Sukai + bergabung untuk dorongan gratis!,กดไลค์ + เข้าร่วมเพื่อรับบูสต์ฟรี!,Ücretsiz bir destek için beğenin ve katılın!,Thích + tham gia để nhận phép tăng cường miễn phí!,"Polub i dołącz, aby uzyskać darmowe wzmocnienie!",قم بالإعجاب والانضمام للحصول على دفعة مجانية!,
sub-group-join-first,,,"Join the group, then claim again!","Присоединяйтесь к группе, а затем запросите снова!",Únete al grupo y reclama de nuevo.,Junte-se ao grupo e reivindique novamente!,"Rejoignez le groupe, puis réclamez à nouveau !",Tritt der Gruppe bei und beanspruche es erneut!,"Unisciti al gruppo, quindi rivendica di nuovo!",グループに参加してから、もう一度請求してください。,그룹에 가입한 후 다시 획득하세요!,加入群组，然后再次领取！,加入群組，再次領取獎勵！,"Bergabunglah dengan grup, lalu klaim lagi!",เข้าร่วมกลุ่มแล้วรับอีกครั้ง!,"Gruba katılın, sonra tekrar talep edin!","Tham gia nhóm, sau đó nhận lại!","Dołącz do grupy, a następnie odbierz ponownie!",انضم إلى المجموعة ، ثم اطلب مرة أخرى!,
title-invite,,,Invite Friends,Пригласить друзей,Invitar Amigos,Convide amigos,Inviter des amis,Freunde einladen,Invita Amici,友達を招待する,친구 초대하기,邀请好友,邀請朋友,Undang Teman,เชิญเพื่อน,Arkadaşlarını Davet Et,Mời bạn bè,Zaproś znajomych,دعوة الأصدقاء,
invite-headline,,,{n} Gems Per Friend!,{n} драгоценных камней на друга!,{n} gemas por amigo!,{n} Gemas Por Amigo!,{n} gemmes par ami !,{n} Edelsteine pro Freund!,{n} gemme per amico!,友達ごとに{n}ジェム！,친구당 {n} 보석!,每个朋友 {n} 颗宝石！ ,每個朋友可以獲得{n}顆寶石！,{n} Permata Per Teman!,{n} อัญมณีต่อเพื่อน!,Arkadaş Başına {n} Mücevher!,{n} Đá quý cho mỗi người bạn!,{n} klejnotów na przyjaciela!,{n} الجواهر لكل صديق!,
